slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
berry-creek-farm,Berry Creek Farm,Westfield,Fruta y verdura,,"1342 Vt Route 100, Westfield, VT 05874",,,,,,,,,,,,pendiente,no comprobado,,,381,,,,,,,us,new-england,vermont,,,,,,
the-alchemist,The Alchemist,Stowe,Cerveza,"Heady Topper, Focal Banger",,"The Alchemist is a Stowe brewery known for Heady Topper, its American double IPA that started the brewery’s flagship beer line.",,+18022536708,info@alchemistbeer.com,https://alchemistbeer.com/,,https://www.instagram.com/alch3mistb33r/,,,,/productores/us/new-england/vermont/the-alchemist.webp,pendiente,sí,ecommerce,,3303,en,,,,,,us,new-england,vermont,,,,,,
hill-farmstead-brewery,Hill Farmstead Brewery,Greensboro,Cerveza,"farmhouse ales, barrel-aged ales",,"Hill Farmstead Brewery makes farmhouse ales and other small-batch beers, including barrel-aged and mixed-fermentation releases.",,+18025337450,,https://hillfarmstead.com/,https://www.facebook.com/hillfarmstead/,https://www.instagram.com/hillfarmstead/,,,,/productores/us/new-england/vermont/hill-farmstead-brewery.webp,pendiente,no comprobado,,,1647,en,,,,,,us,new-england,vermont,,,,,,
lawson-s-finest-liquids,Lawson's Finest Liquids,Waitsfield,Cerveza,"Sip of Sunshine, Little Sip, IPAs",,Lawson’s Finest Liquids brews a cold-kept lineup led by Sip of Sunshine and the Sunshine family of IPAs.,,,hello@lawsonsfinest.com,https://www.lawsonsfinest.com/,https://www.facebook.com/LawsonsFinestLiquids/,https://www.instagram.com/lawsonsfinest/,,,,/productores/us/new-england/vermont/lawson-s-finest-liquids.webp,pendiente,no comprobado,,,1999,en,,,,,,us,new-england,vermont,,,,,,
foam-brewers,Foam Brewers,Burlington,Cerveza,"IPAs, lagers, sour ales",,"Foam Brewers produces small-batch beer in Burlington, spanning IPAs, lagers, sour ales, and barrel-aged releases.",,+18027992080,live@foambrewers.com,https://www.foambrewers.com/,https://www.facebook.com/FoamBrewers/,,,,,/productores/us/new-england/vermont/foam-brewers.webp,pendiente,sí,ecommerce,,1311,en,,,,,,us,new-england,vermont,,,,,,
zero-gravity-craft-brewery,Zero Gravity Craft Brewery,Burlington,Cerveza,"craft beer, IPA, lager","716 Pine Street Burlington, VT, 05401 United States",Zero Gravity Craft Brewery is a Burlington brewery producing rotating craft beers and operating a Pine Street taproom.,,+18024970054,jeff@zerogravitybeer.com,https://www.zerogravitybeer.com/,https://www.facebook.com/zerogravitybeer/,https://www.instagram.com/zerogravitybeer/,,,,,pendiente,no comprobado,,,3712,en,,,,,,us,new-england,vermont,,,,,,
switchback-brewing-co,Switchback Brewing Co.,Burlington,Cerveza,"Switchback Ale, craft beer","160 Flynn Avenue Burlington, VT, 05401 United States",Switchback Brewing makes unfiltered craft ale and other beers at its Burlington brewery and taproom.,,+18025406965,info@switchbackvt.com,https://www.switchbackvt.com/,https://www.facebook.com/SwitchbackBeer/,https://www.instagram.com/switchbackbeer/,,,,/productores/us/new-england/vermont/switchback-brewing-co.webp,pendiente,no comprobado,,,3245,en,,,,,,us,new-england,vermont,,,,,,
burlington-beer-company,Burlington Beer Company,Burlington,Cerveza,"IPAs, sour beers, mixed-fermentation beer","180 Flynn Avenue Burlington, VT, 05401 United States","Burlington Beer Company produces a rotating lineup of small-batch beers, with a focus on hop-forward and mixed-fermentation styles.",,+18028632337,hello@burlingtonbeercompany.com,https://www.burlingtonbeercompany.com/,https://www.facebook.com/burlingtonbeer/,https://www.instagram.com/burlingtonbeer/,,,,/productores/us/new-england/vermont/burlington-beer-company.webp,pendiente,no comprobado,,,644,en,,,,,,us,new-england,vermont,,,,,,
fiddlehead-brewing-company,Fiddlehead Brewing Company,Shelburne,Cerveza,"IPA, craft beer",,"Fiddlehead Brewing Company makes fresh, hop-forward beers in Shelburne, including its flagship IPA.",,,info@fiddleheadbrewing.com,https://www.fiddleheadbrewing.com/,https://www.facebook.com/FiddleheadBrew/,https://www.instagram.com/fiddleheadbrewing/,,,,/productores/us/new-england/vermont/fiddlehead-brewing-company.webp,pendiente,no comprobado,,,1258,en,,,,,,us,new-england,vermont,,,,,,
frost-beer-works,Frost Beer Works,Hinesburg,Cerveza,"IPAs, craft beer",,Frost Beer Works is a Hinesburg brewery focused on small-batch IPAs and other modern craft beer styles.,,,,https://frostbeerworks.com/,,,,,,,pendiente,no comprobado,,,1371,en,,,,,,us,new-england,vermont,,,,,,
14th-star-brewing-co,14th Star Brewing Co.,St. Albans,Cerveza,"craft beer, ales, lagers",,14th Star Brewing is a veteran-owned St. Albans brewery producing small-batch craft beer.,,,,https://www.14thstarbrewing.com/,https://www.facebook.com/14thstarbrewing/,https://www.instagram.com/14thstarbrewing/,,,,/productores/us/new-england/vermont/14th-star-brewing-co.webp,pendiente,no comprobado,,,5,en,,,,,,us,new-england,vermont,,,,,,
jasper-hill-farm,Jasper Hill Farm,Greensboro,Lácteos y quesos,"Bayley Hazen Blue, Harbison, Moses Sleeper","884 Garvin Hill Road Greensboro, VT, 05842 United States","Jasper Hill Farm makes award-winning farmstead cheese from its Greensboro dairy, including Bayley Hazen Blue and Harbison.",,,info@jasperhillfarm.com,https://www.jasperhillfarm.com/,https://www.facebook.com/jasperhillfarm/,https://www.instagram.com/jasperhillfarm/,,,,/productores/us/new-england/vermont/jasper-hill-farm.webp,pendiente,no comprobado,,,1819,en,,,,,,us,new-england,vermont,,,,,,
grafton-village-cheese-company,Grafton Village Cheese Company,Grafton,Lácteos y quesos,"aged cheddar, farmstead cheese",,"Grafton Village Cheese Company produces traditionally aged Vermont cheese, including its signature cheddar styles.",,,,https://www.graftonvillagecheese.com/,,,,,,,pendiente,no comprobado,,,1450,en,,,,,,us,new-england,vermont,,,,,,
shelburne-farms,Shelburne Farms,Shelburne,Lácteos y quesos,"clothbound cheddar, farmstead cheese",,Shelburne Farms makes clothbound cheddar and other farmstead products from its working Shelburne dairy.,,,,https://shelburnefarms.org/,https://www.facebook.com/ShelburneFarms/,https://www.instagram.com/shelburnefarms/,,,,/productores/us/new-england/vermont/shelburne-farms.webp,pendiente,no comprobado,,,2971,en,,,,,,us,new-england,vermont,,,,,,
sweet-rowen-farmstead,Sweet Rowen Farmstead,West Glover,Lácteos y quesos,sheep-milk cheese,,Sweet Rowen Farmstead produces sheep-milk cheeses from its West Glover farmstead flock.,,,,https://sweetrowen.com/,,https://www.instagram.com/sweetrowenfarmstead/,,,,/productores/us/new-england/vermont/sweet-rowen-farmstead.webp,pendiente,no comprobado,,,3234,en,,,,,,us,new-england,vermont,,,,,,
consider-bardwell-farm,Consider Bardwell Farm,West Pawlet,Lácteos y quesos,"cow-milk cheese, goat-milk cheese",,Consider Bardwell Farm makes farmstead cheeses from cow and goat milk at its West Pawlet dairy.,,,,https://considerbardwellfarm.com/,,,,,,,pendiente,no comprobado,,,877,en,,,,,,us,new-england,vermont,,,,,,
parish-hill-creamery,Parish Hill Creamery,Westminster West,Lácteos y quesos,farmstead cheese,,Parish Hill Creamery produces small-batch farmstead cheese in Westminster West.,,,cheese@parishhillcreamery.com,https://parishhillcreamery.com/,,https://www.instagram.com/parishhillcreamery/,,,,/productores/us/new-england/vermont/parish-hill-creamery.webp,pendiente,no comprobado,,,2524,en,,,,,,us,new-england,vermont,,,,,,
boston-post-dairy,Boston Post Dairy,Enosburg Falls,Lácteos y quesos,"dairy foods, seasonal farm goods",,Boston Post Dairy is an Enosburg Falls dairy and farm store offering locally produced dairy foods and seasonal farm goods.,,,,https://bostonpostdairy.com/,,https://www.instagram.com/bostonpostdairy/,,,,/productores/us/new-england/vermont/boston-post-dairy.webp,pendiente,sí,ecommerce,,535,en,,,,,,us,new-england,vermont,,,,,,
von-trapp-farmstead,Von Trapp Farmstead,Waitsfield,Lácteos y quesos,Austrian-style cheese,"251 Common Road Waitsfield, VT, 05673 United States",Von Trapp Farmstead makes Austrian-inspired cheeses from milk produced at the family’s Waitsfield farm.,,+18024966100,info@vontrappfarmstead.com,https://vontrappfarmstead.com/,https://www.facebook.com/VonTrappFarmsteadCheese/,https://www.instagram.com/vontrappfarmstead/,,,,/productores/us/new-england/vermont/von-trapp-farmstead.webp,pendiente,no comprobado,,,3532,en,,,,,,us,new-england,vermont,,,,,,
blue-ledge-farm,Blue Ledge Farm,Salisbury,Lácteos y quesos,goat cheese,,Blue Ledge Farm produces award-winning goat cheeses from its Salisbury dairy.,,+18022470095,info@blueledgefarm.com,https://blueledgefarm.com/,,,,,,/productores/us/new-england/vermont/blue-ledge-farm.webp,pendiente,sí,ecommerce,,475,en,,,,,,us,new-england,vermont,,,,,,
champlain-valley-creamery,Champlain Valley Creamery,Middlebury,Lácteos y quesos,organic artisan cheese,,Champlain Valley Creamery makes organic artisan cheeses in Middlebury from milk selected to its creamery standards.,,,,https://cvcreamery.com/,,,,,,,pendiente,no comprobado,,,769,en,,,,,,us,new-england,vermont,,,,,,
dutton-berry-farm,Dutton Berry Farm,Newfane,Fruta y verdura,"berries, apples, seasonal produce",,Dutton Berry Farm grows berries and other seasonal fruit and vegetables for its Newfane farm store.,,,,https://duttonberryfarm.com/,,,,,,,pendiente,sí,ecommerce,,1129,en,,,,,,us,new-england,vermont,,,,,,
shelburne-orchards,Shelburne Orchards,Shelburne,Fruta y verdura,"apples, cider",,Shelburne Orchards grows apples beside Lake Champlain and turns them into orchard cider and other apple products.,,,orchardappletrees@gmail.com,https://shelburneorchards.com/,,https://www.instagram.com/shelburneorchards/,,,,/productores/us/new-england/vermont/shelburne-orchards.webp,pendiente,no comprobado,,,2972,en,,,,,,us,new-england,vermont,,,,,,
vermont-artisan-coffee-tea-co,Vermont Artisan Coffee & Tea Co.,Waterbury,Café,"coffee, tea",,Vermont Artisan Coffee & Tea Co. roasts coffee and blends or sources teas for its Waterbury shop and online store.,,,,https://vtartisan.com/,,,,,,/productores/us/new-england/vermont/vermont-artisan-coffee-tea-co.webp,pendiente,sí,ecommerce,,3512,en,,,,,,us,new-england,vermont,,,,,,
brio-coffeeworks,Brio Coffeeworks,Burlington,Café,specialty coffee,,Brio Coffeeworks roasts carefully sourced specialty coffee in small batches in Burlington.,,,magda@briocoffeeworks.com,https://briocoffeeworks.com/,https://www.facebook.com/briocoffeeworks/,https://www.instagram.com/briocoffeeworks/,,,,/productores/us/new-england/vermont/brio-coffeeworks.webp,pendiente,sí,ecommerce,,596,en,,,,,,us,new-england,vermont,,,,,,
mocha-joe-s-roasting-co,Mocha Joe's Roasting Co.,Brattleboro,Café,specialty coffee,,Mocha Joe's Roasting Co. produces specialty coffee at its Brattleboro roastery.,,+18022575637,info@mochajoes.com,https://mochajoes.com/,https://www.facebook.com/MochaJoesRoastingCo/,https://www.instagram.com/mochajoesroasting/,,,,/productores/us/new-england/vermont/mocha-joe-s-roasting-co.webp,pendiente,sí,ecommerce,,2264,en,,,,,,us,new-england,vermont,,,,,,
carrier-roasting-co,Carrier Roasting Co.,Northfield,Café,specialty coffee,,Carrier Roasting Co. roasts specialty coffee in Northfield for direct sale.,,,,https://carrierroasting.com/,,,,,,/productores/us/new-england/vermont/carrier-roasting-co.webp,pendiente,sí,ecommerce,,708,en,,,,,,us,new-england,vermont,,,,,,
mad-river-distillers,Mad River Distillers,Warren,Destilados y licores,craft spirits,,"Mad River Distillers mashes, ferments, distills and ages whiskey, rum and brandy on site in Warren. It sources ingredients regionally, including non-GMO, fair-trade and organic inputs.",,+18024895501,info@madriverdistillers.com,https://madriverdistillers.com/,https://www.facebook.com/madriverdistillers/,https://www.instagram.com/madriverdistillers/,,,,/productores/us/new-england/vermont/mad-river-distillers.webp,pendiente,sí,ecommerce,,2112,en,,,,,,us,new-england,vermont,,,,,,
caledonia-spirits,Caledonia Spirits,Montpelier,Destilados y licores,craft spirits,,Caledonia Spirits produces craft spirits in Montpelier for local sales.,,+18024728000,info@caledoniaspirits.com,https://caledoniaspirits.com/,,,,,,,pendiente,no comprobado,,,671,en,,,,,,us,new-england,vermont,,,,,,
champlain-valley-apiaries,Champlain Valley Apiaries,Middlebury,Miel,raw honey and hive products,,Champlain Valley Apiaries keeps bees in Middlebury and sells raw honey and hive products.,,+18023887724,info@champlainvalleyhoney.com,https://champlainvalleyhoney.com/,https://www.facebook.com/champlainvalleyhoney/,https://www.instagram.com/champlainvalleyapiaries/,,,,/productores/us/new-england/vermont/champlain-valley-apiaries.webp,pendiente,sí,ecommerce,,768,en,,,,,,us,new-england,vermont,,,,,,
breitmeyers-farm,Breitmeyers Farm,Greensboro Bend,Fruta y verdura,,"1217 Garven Hill Road, Greensboro Bend, VT 05842",,,,,,,,,,,,pendiente,no comprobado,,,579,,,,,,,us,new-england,vermont,,,,,,
allen-brothers-farms,Allen Brothers Farms,Westminster,Carne,,"6023 US Route 5, Westminster, VT 05158",,,,,,,,,,,,pendiente,no comprobado,,,98,,,,,,,us,new-england,vermont,,,,,,
evening-song-farm,Evening Song Farm,Cuttingsville,Fruta y verdura,seasonal fruit and vegetables,,Evening Song Farm grows seasonal fruit and vegetables at its Cuttingsville farm.,,,,https://www.eveningsongcsa.com,,,,,,/productores/us/new-england/vermont/evening-song-farm.webp,pendiente,no comprobado,,,4020,en,,,,,,us,new-england,vermont,,,,,,
livewater-farm-and-dairy,Livewater Farm & Dairy,Westminster West,Otros,maple syrup,,Livewater Farm & Dairy produces maple syrup in Westminster West.,,,,https://www.livewaterfarm.net,,,,,,,pendiente,no comprobado,,,4021,en,,,,,,us,new-england,vermont,,,,,,
new-leaf-csa-farm,New Leaf CSA Farm,Dummerston,Fruta y verdura,seasonal fruit and vegetables,,New Leaf CSA Farm grows seasonal fruit and vegetables in Dummerston for its CSA.,,,,https://www.NewLeafCSA.com,,,,,,,pendiente,no comprobado,,,4022,en,,,,,,us,new-england,vermont,,,,,,
red-clover-farm,Red Clover Farm,Morrisville,Fruta y verdura,seasonal fruit and vegetables,,Red Clover Farm grows seasonal fruit and vegetables in Morrisville.,,,,https://redcloverfarmvt.com,,,,,,/productores/us/new-england/vermont/red-clover-farm.webp,pendiente,no comprobado,,,4023,en,,,,,,us,new-england,vermont,,,,,,
rhapsody-natural-foods,Rhapsody Natural Foods,CABOT,Despensa artesanal,local food products,,"Rhapsody Natural Foods makes traditional plant-based foods in Cabot, including organic tempeh and miso, natto, mochi and koji. Its products draw on Japanese and Indonesian food traditions.",,,,https://www.rhapsodynaturalfoods.com,,,,,,/productores/us/new-england/vermont/rhapsody-natural-foods.webp,pendiente,no comprobado,,,4024,en,,,,,,us,new-england,vermont,,,,,,
true-love-farm,True Love Farm,North Bennington,Fruta y verdura,seasonal fruit and vegetables,,True Love Farm grows seasonal fruit and vegetables at its North Bennington farm.,,,,https://www.truelovefarm.com,,,,,,/productores/us/new-england/vermont/true-love-farm.webp,pendiente,no comprobado,,,4025,en,,,,,,us,new-england,vermont,,,,,,
uphill-farm,Uphill Farm,Rochester,Fruta y verdura,seasonal fruit and vegetables,,Uphill Farm grows seasonal fruit and vegetables in Rochester.,,,,https://www.uphillfarmvt.com,,,,,,,pendiente,no comprobado,,,4026,en,,,,,,us,new-england,vermont,,,,,,
vermont-elderberry,Vermont Elderberry,Putney,Bebidas sin alcohol,local food products,,Vermont Elderberry grows and processes elderberries into its Vermont food products in Putney.,,,,https://vermontelderberry.com,,,,,,/productores/us/new-england/vermont/vermont-elderberry.webp,pendiente,no comprobado,,,4027,en,,,,,,us,new-england,vermont,,,,,,
wild-shepherd-farm,Wild Shepherd Farm,Athens,Carne,farm-raised meat,,Wild Shepherd Farm raises livestock and produces farm meat in Athens.,,,,https://wildshepherdfarm.com,,,,,,,pendiente,no comprobado,,,4028,en,,,,,,us,new-england,vermont,,,,,,
fat-chance-farm,Fat Chance Farm,Hyde Park,Carne,Pasture-raised chicken and eggs,"1224 McKinstry Hill Rd, Hyde Park, VT 05655",Fat Chance Farm raises pasture poultry and eggs and processes whole birds on the farm.,,+18028510339,fatchancevt@gmail.com,https://fatchancesoap.com/,,,,,,/productores/us/new-england/vermont/fat-chance-farm.webp,pendiente,no comprobado,,,4040,en,,,,,,us,new-england,vermont,,,,,,
deer-ridge-farm-guilford,Deer Ridge Farm,Guilford,Despensa artesanal,"Maple syrup, maple candy and honey","4057 Hinesburg Rd, Guilford, VT 05301","Deer Ridge Farm produces maple syrup, maple candy, and honey and sells them from a year-round farm stand.",,,,https://deerridgefarmvt.com/,,,,,,,pendiente,no comprobado,,,4041,en,,,,,,us,new-england,vermont,,,,,,
deep-meadow-farm,Deep Meadow Farm,Weathersfield,Fruta y verdura,Certified organic vegetables,"6377 Route 5, Ascutney, VT 05089","Deep Meadow Farm grows certified-organic vegetables for its farm stand, markets, and wholesale buyers.",,+18026744181,,https://deepmeadowfarm.net/,,,,,,,pendiente,no comprobado,,,4042,en,,,,,,us,new-england,vermont,,,,,,
