slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area,video,quien hay detras,quien_hay_detras_locale,historia,historia_locale,fecha ultimo cambio
mettlacher-abtei-braeu,Mettlacher Abtei-Bräu,Mettlach,Cerveza,"Abtei-Bräu naturtrüb, Bio-Märzen","Bahnhofstraße 32, 66693 Mettlach",Erlebnisbrauerei de Mettlach que elabora cerveza natural sin filtrar.,Tu-Su 12:00-22:00,+49686493232,reservierung@abtei-brauerei.de,https://www.abtei-brauerei.de/,,,,49.4976381,6.5963537,,pendiente,no comprobado,,,1728,es,,,,,,de,westdeutschland,saarland,,,,,,
saarfuerst-merziger-brauhaus,Saarfürst Merziger Brauhaus,Merzig,Cerveza,"Saarfürst Hell, Weizen","Saarwiesenring 6, 66663 Merzig",Brauhaus del puerto deportivo de Merzig con cerveza elaborada en casa.,Mo-Su 12:00-,+496861791635,reservierung@merzigerbrauhaus.de,https://merzigerbrauhaus.de/,,,,49.4432628,6.6279622,,pendiente,no comprobado,,,1971,es,,,,,,de,westdeutschland,saarland,,,,,,
stumms-brauhaus,Stumm's Brauhaus,Neunkirchen,Cerveza,"Helles, Dunkles, Herbstbräu","Saarbrücker Straße 16, 66538 Neunkirchen",Brauhaus del antiguo complejo siderúrgico que elabora cervezas naturales según recetas propias.,Mo-Sa 11:30-22:00,+496821179145,info@stumms-brauhaus.de,https://stumms-brauhaus.de/,,,,49.3477334,7.1721921,,pendiente,no comprobado,,,2151,es,,,,,,de,westdeutschland,saarland,,,,,,
tiny-brew,Tiny Brew,Kleinblittersdorf,Cerveza,"Kellerbier, Pale Ale, Spezialbiere","Zur Fabrik 12, 66271 Kleinblittersdorf",Pequeña cervecería del Bliesgau que produce sus propias cervezas en contenedores adaptados.,Fr 12:00-17:00,+491773798521,,https://tiny-brew.com/,,,,49.1662034,7.0317277,,pendiente,no comprobado,,,2181,es,,,,,,de,westdeutschland,saarland,,,,,,
walsheimer-sudhaus,Walsheimer Sudhaus,Gersheim,Cerveza,"Naturtrübes Bier, Saisonbiere","Zum Sudhaus 2, 66453 Gersheim-Walsheim",Microcervecería de Walsheim activa desde 2011 con especialidades naturales.,,+4968435899743,prost@walsheim-bier.de,https://walsheimbier.de/,,,,49.1549339,7.2307420,,pendiente,no comprobado,,,2245,es,,,,,,de,westdeutschland,saarland,,,,,,
karlsberg-brauerei,Karlsberg Brauerei,Homburg,Cerveza,"Karlsberg UrPils, Bockbier, NaturRadler","Karlsbergstraße 62, 66424 Homburg",Cervecería regional de Homburg con producción propia y una gama de cerveza y mezclas.,,+4968411050,info@karlsberg.de,https://karlsberg.de/,,,,49.3239321,7.3466719,,pendiente,no comprobado,,,1478,es,,,,,,de,westdeutschland,saarland,,,,,,
herz-und-heimat,Herz & Heimat – Craft Beer Saar,St. Ingbert,Cerveza,"Niko's, Irmgard IPA, Hausbier","Kahlenbergstraße 5, 66386 St. Ingbert",Bierbrüder Braumanufaktur elabora en St. Ingbert cinco variedades fijas y cervezas de temporada.,,+491776278680,info@herzundheimat.com,https://www.herzundheimat.com/,,,,49.2765089,7.1523486,,pendiente,no comprobado,,,1182,es,,,,,,de,westdeutschland,saarland,,,,,,
edelpilzzucht-saarbruecken,Edelpilzzucht Saarbrücken,Saarbrücken,Setas,Setas gourmet ecológicas,"An der Römerbrücke 17, 66121 Saarbrücken",Cultivo ecológico de Mirko Kalkum que produce setas en Saarbrücken.,,,bestellung@edelpilzzucht-saar.de,https://www.xn--edelpilzzucht-saarbrcken-ftc.de/,,,,49.2239934,7.0182016,,,sí,email,,833,es,,,,,,de,westdeutschland,saarland,,,,,,
highlander-vom-rohrbachtal,Highlander vom Rohrbachtal,St. Ingbert,Carne,"Carne de vacuno Highland, embutidos y hamburguesas","Zum Ensheimer Gelösch 17, 66386 St. Ingbert OT Sengscheid",Ganadería ecológica de Torsten Becker con vacuno Highland propio y venta de carne y embutidos en la finca y en mercados y fiestas locales.,Cita previa,+491704703152,highlander-grumbachtal@web.de,https://highlander-rohrbachtal.de/,,,,49.2549331,7.1012330,,,no comprobado,,,1192,es,,,,,,de,westdeutschland,saarland,,,,,,
bliesmed-seniorenbetreuung,BliesMed Seniorenbetreuung,Blieskastel,Miel,Miel Demeter,"Schloßbergstraße 50, 66440 Blieskastel",Proyecto apícola del Seniorenzentrum Haus am Berg que mantiene colmenas con sus residentes y produce miel ecológica Demeter.,,+496842510960,info@PflegebeiFreunden.de,https://www.pflege-bei-freunden.de/,,,,49.2374078,7.2533651,,pendiente,no comprobado,,,298,es,,,,,,de,westdeutschland,saarland,,,,,,
hofladen-von-carlowitz,Hofladen von Carlowitz,Nohfelden,Carne,Carne y embutidos de cordero ecológico,"In den Hanfgärten 11, 66625 Nohfelden OT Walhausen",Explotación Bioland de Hendrik von Carlowitz con rebaño propio de oveja Coburger y venta de cordero y algunos embutidos de sus animales en la tienda de finca.,Fr 10-18; otros horarios con cita,+4917670010427,von.carlowitz@t-online.de,https://www.hofladen-voncarlowitz.de/hofladen,,,,49.5554547,7.1254870,,,no comprobado,,,1330,es,,,,,,de,westdeutschland,saarland,,,,,,
black-hen-rosthandwerk,BLACK HEN Rösthandwerk,Saarbrücken,Café,"Café en grano, espresso y filtro","Talstr. 48, 66119 Saarbrücken","Tostadero artesanal de café de especialidad bio en Saarbrücken. Tueste en tambor por pequeños lotes, 100% arábica de cultivo ecológico controlado y comercio directo, cafetería y tienda online.",,+4968938489430,info@blackhen.de,https://www.blackhen.de/,,https://www.instagram.com/blackhen_roesthandwerk,,49.2274977,6.9953358,,,sí,ecommerce,,291,es,,,,,,de,westdeutschland,saarland,,,,,,
moccorte-kaffeerosterei,MOCCORTE Kaffeerösterei,Saarbrücken,Café,"Café en grano, espresso y filtro","Kaiserstraße 76, 66133 Saarbrücken","Microtostador artesanal independiente en Saarbrücken (Scheidt). Tueste lento en tambor de cafés ecológicos de especialidad y comercio justo, venta directa y tienda online.",,+496819512556,info@moccorte-kaffee.de,https://www.moccorte-kaffee.de/,,https://www.instagram.com/moccorte,,49.2473343,7.0602604,,,sí,ecommerce,,1738,es,,,,,,de,westdeutschland,saarland,,,,,,
weiheranlage-heimlinger-tal-losheim-am-see,Weiheranlage Heimlinger Tal,Losheim am See,Pescado,"Trout, Char, Smoked fish","Im Heimlinger Tal 1, 66679 Losheim am See","Weiheranlage Heimlinger Tal raises trout and char and processes its own fish offer at its Losheim am See operation, with direct local sales.",,+4917624674710,support@demo.com,http://www.weiheranlage-heimlinger-tal.de,,,,49.506691,6.738485,,,no comprobado,,,2263,en,,,,,,de,westdeutschland,saarland,,,,,,
forellenhof-niedersalbach-heusweiler,Forellenhof Niedersalbach,Heusweiler,Pescado,"Trout, Smoked fish","Zum Forellenhof 1, 66265 Heusweiler (Niedersalbach)","Forellenhof Niedersalbach raises trout and processes its own fish offer at its Heusweiler operation, with direct local sales.",,+491719313314,windsberger@forellenhof-trauntal.de,http://www.forellenhof-niedersalbach.de,,,,49.330267,6.886193,,,no comprobado,,,978,en,,,,,,de,westdeutschland,saarland,,,,,,
weingut-schmitt-weber,Weingut Schmitt-Weber,Perl,Vino,,"Im Schloßgarten 4, 66706 Perl","Bodega familiar histórica con viñedos propios en laderas de conchuela (*Muschelkalk*). Elabora y embotella Auxerrois, Grauburgunder, Weißburgunder, Elbling y Pinot Noir en Perl.",,,info@schmitt-weber.de,https://www.schmitt-weber.de,,https://www.instagram.com/weingutschmittweber/,,49.4736100,6.3850000,,,sí,ecommerce,,2284,es,,,,,,de,westdeutschland,saarland,,,,,,
bioweingut-ollinger-gelz,Bioweingut Ollinger-Gelz,Perl,Vino,,"Weinstraße 90, 66706 Perl-Sehndorf","Productor de vino ecológico en Saarland (Bioland desde 2001). Viñedos propios en laderas de Sehndorf, cultivo biodinámico y vinificación propia de vinos naturales y espumosos.",,,,http://www.ollinger-gelz.de,,https://www.instagram.com/weingut_ollinger_gelz/,,49.4736100,6.3850000,,,sí,ecommerce,,285,es,,,,,,de,westdeutschland,saarland,,,,,,
weingut-okonomierat-petgen-dahm,Weingut Ökonomierat Petgen-Dahm,Perl,Vino,,"Winzerstraße 14, 66706 Perl-Sehndorf","Explotación vitivinícola con bodega subterránea histórica de más de 300 años. Elaboración propia en bodega de vinos de terruño, Crémant artesanal y selecciones de añada.",,+49068671367,info@petgen-dahm.de,https://www.petgen-dahm.de,,https://www.instagram.com/petgendahm/,,49.4823490,6.3890705,,,no comprobado,,,2283,es,,,,,,de,westdeutschland,saarland,,,,,,
sekthaus-weingut-gerd-petgen,Sekthaus & Weingut Gerd Petgen,Perl,Vino,,"Winzerstraße 24, 66706 Perl-Sehndorf",Elaborador artesano especializado en Sekt de método tradicional con crianza prolongada sobre lías y vinos blancos monovarietales de la Obermosel en bodega propia.,,+49068671404,,https://www.petgen.de,,,,49.4819710,6.3883477,,,sí,ecommerce,,2064,es,,,,,,de,westdeutschland,saarland,,,,,,
weingut-okonomierat-herber,Weingut Ökonomierat Herber,Perl,Vino,,"Saarbrücker Straße 65, 66706 Perl","5ª generación de viticultores (desde 1919) con viñedos en Perl y Sehndorf. Vinificación propia de Elbling de cepas viejas, Chardonnay mineral y Spätburgunder en barrica.",,+4926062819,,https://www.weingut-herber.de,,https://www.instagram.com/weingut.herber/,,49.5303362,6.4250634,,pendiente,sí,ecommerce,,2282,es,,,,,,de,westdeutschland,saarland,,,,,,
weingut-karl-petgen,Weingut Karl Petgen,Perl,Vino,,"Martinusstraße 12, 66706 Perl-Nennig","Bodega histórica familiar con orígenes en 1720 en Nennig. Elaboración propia de vinos finos de suelos calizos: Auxerrois, Grauburgunder y Riesling.",,+49293004803,info@karl-petgen.de,https://karl-petgen.de,,,,49.5326101,6.3809206,,,sí,ecommerce,,2277,es,,,,,,de,westdeutschland,saarland,,,,,,
weingut-hartmann,Weingut Hartmann,Perl,Vino,,"Saarbrücker Straße 42, 66706 Perl","Explotación vitícola familiar con viñedos en Perl. Elaboración y embotellado de vinos blancos frescos, Elbling clásico y espumosos con venta directa en bodega.",,+4930816082026,,http://www.weingut-hartmann.de,,,,49.5303362,6.4250634,,pendiente,no comprobado,,,2272,es,,,,,,de,westdeutschland,saarland,,,,,,
weingut-marx,Weingut Marx,Perl,Vino,,"Sehndorfer Straße 11, 66706 Perl-Sehndorf","Bodega familiar en el pueblo vitícola de Sehndorf, con viñedos en ladera y vinificación artesanal en bodega propia con venta directa de añadas cosechadas.",,+4906867560660,info@marx-weingut.de,https://marx-weingut.de,,,,49.4736100,6.3850000,,,no comprobado,,,2281,es,,,,,,de,westdeutschland,saarland,,,,,,
weingut-fuchs,Weingut Fuchs,Perl,Vino,,"Schloßstraße 2, 66706 Perl-Nennig",Explotación vitícola y agraria en Nennig con viñedos propios y elaboración de vinos de mesa y calidad de la ribera del Mosela saarrano.,,,info@fuchs-nennig.de,https://fuchs-agrar.de,,,,49.5340799,6.3860087,,pendiente,no comprobado,,,2271,es,,,,,,de,westdeutschland,saarland,,,,,,
comame-kaffeerosterei,Comame Kaffeerösterei,St. Ingbert,Café,,"Kaiserstraße 69, 66386 St. Ingbert",Microtostadero artesanal y cafetería de especialidad en St. Ingbert. Tueste propio en tambor en pequeños lotes de cafés de comercio directo y ético.,,+490340478280,,https://comame.de,,https://www.instagram.com/comame_kaffee/,,49.2794913,7.1173910,,pendiente,sí,ecommerce,,725,es,,,,,,de,westdeutschland,saarland,,,,,,
die-kaffeebohne-willy-gunther-menn,Die Kaffeebohne / Willy & Günther Menn,Saarbrücken,Café,,"Cecilienstraße 18, 66111 Saarbrücken",Tostadero de café en funcionamiento continuo de Saarbrücken. Tueste tradicional propio en tambor de gas a la vista en su tienda del centro.,,,,https://die-kaffeebohne.de,,,,49.2360574,6.9990718,,pendiente,no comprobado,,,790,es,,,,,,de,westdeutschland,saarland,,,,,,
kaffeerosterei-tesorito,Kaffeerösterei Tesorito,Saarbrücken,Café,,"Cecilienstraße 16, 66111 Saarbrücken",Microtostador artesano en el barrio de Nauwies con tostadora propia y cafés de comercio directo de pequeños agricultores centroamericanos y africanos.,,,,https://tesorito.de,,https://www.instagram.com/tesorito_kaffee/,,49.2359812,6.9985768,,,sí,ecommerce,,1465,es,,,,,,de,westdeutschland,saarland,,,,,,
kaffeerosterei-gerber,Kaffeerösterei Gerber,Schiffweiler,Café,,"Hauptstraße 29, 66578 Schiffweiler",Tostadero artesanal independiente en Schiffweiler. Selección de microlotes bio y tueste lento en tambor propio para preservar los perfiles de origen.,,+4925062802,,https://kaffeeroesterei-gerber.de,,https://www.instagram.com/kaffeeroesterei_gerber/,,49.3696696,7.1312520,,,sí,ecommerce,,1461,es,,,,,,de,westdeutschland,saarland,,,,,,
kembali-kaffeerosterei,Kembali Kaffeerösterei,St. Wendel,Café,,"Mommstraße 34, 66606 St. Wendel",Tostadero de especialidad en el centro de St. Wendel con tostadora propia y perfiles modernos para espresso y filtro.,,,,https://kembali-coffee.de,,https://www.instagram.com/kembalicoffee/,,49.4647563,7.1652690,,pendiente,no comprobado,,,1497,es,,,,,,de,westdeutschland,saarland,,,,,,
rosterei-pauli-michels-pauli-kaffee,Rösterei Pauli Michels / Pauli-Kaffee,Weiskirchen,Café,,"Im Gewerbegebiet 16a, 66709 Weiskirchen",Manufaktura artesana de café en el parque natural Saar-Hunsrück con tostadero propio activo desde los años 80 y cafetería propia (Café Collage).,,+496876791944,info@pmkaffee.de,https://pauli-michels-kaffee.de,,,,49.5444025,6.8336916,,,no comprobado,,,1949,es,,,,,,de,westdeutschland,saarland,,,,,,
kaffeemanufaktur-plaisir,Kaffeemanufaktur Plaisir,Schwalbach,Café,,"Hauptstraße 106, 66773 Schwalbach","Tostadero artesano con tostadora instalada en el local, especializado en cafés bio, comercio justo y molienda fresca diaria.",,+4968344092930,info@kaffeemanufaktur-plaisir.de,https://kaffeemanufaktur-plaisir.de,,https://www.instagram.com/kaffeemanufakturplaisir/,,49.3038883,6.8157158,,,sí,ecommerce,,1458,es,,,,,,de,westdeutschland,saarland,,,,,,
kessler-espresso,Kessler Espresso,Völklingen,Café,,"Altenkesseler Straße 17, 66333 Völklingen",Microtostador y escuela de barismo con líneas propias de espresso artesano tostadas en Völklingen-Luisenthal.,,+4926080922,info@espresso-kessler.de,https://espresso-kessler.de,,,,49.2579431,6.9066742,,pendiente,sí,ecommerce,,1499,es,,,,,,de,westdeutschland,saarland,,,,,,
kaffeewerkstatt-neunkirchen-wzb,Kaffeewerkstatt Neunkirchen (WZB),Neunkirchen,Café,,"Irrgartenstraße 32, 66538 Neunkirchen",Tostadero artesanal inclusivo en Neunkirchen con tueste visible en tambor y elaboración de cafés monorigen y mezclas de la casa.,,+4968217931188,info-kaffeewerkstatt@vevio.de,https://kaffeewerkstatt-wzb.de,,,,49.3423811,7.1770450,,pendiente,sí,ecommerce,,1467,es,,,,,,de,westdeutschland,saarland,,,,,,
grosswald-brauerei,Grosswald Brauerei,Heusweiler,Cerveza,,"Großwaldstraße 1, 66265 Heusweiler-Eiweiler","Cervecería familiar independiente con planta propia en Köllertal desde 1860. Elabora Grosswald Pilsener, Landbier, Zwickel y cervezas de temporada con agua propia de manantial.",,+4968066070,info@grosswald.de,https://www.grosswald.de,,https://www.instagram.com/grosswald_brauerei/,,49.3593900,6.9315304,,,no comprobado,,,1095,es,,,,,,de,westdeutschland,saarland,,,,,,
hochwalder-brauhaus,Hochwälder Brauhaus,Losheim am See,Cerveza,,"Zum Stausee 190, 66679 Losheim am See","Cervecería artesanal junto al lago de Losheim con sala de cocción (*Sudhaus*) propia y elaboración in situ de cervezas frescas sin filtrar (Hell, Dunkel, Weizen).",,+496872505772,info@hochwaelder-brauhaus.de,https://www.hochwaelder-brauhaus.de,,https://www.instagram.com/hochwaelderbrauhaus/,,49.5194662,6.7412638,,pendiente,sí,ecommerce,,1212,es,,,,,,de,westdeutschland,saarland,,,,,,
choconuva,Choconuva,Saarwellingen,Chocolate,,"Bahnhofstraße 30, 66793 Saarwellingen","Manufaktura artesana de chocolate «Bean-to-Bar» con obrador propio en Saarwellingen. Elaboración artesanal desde el grano de cacao, tabletas finas y bombones.",,+490520535439273,,https://www.choconuva.de,https://www.facebook.com/choconuva/,,,49.3543431,6.8047200,,,sí,ecommerce,,717,es,,,,,,de,westdeutschland,saarland,,,,,,
brot-sinne,Brot & Sinne,Saarbrücken,Pan y cereal,,"Kurt-Schumacher-Straße 40, 66130 Saarbrücken","Panadería artesanal 100% bio con obrador propio, fermentación lenta de hasta 48 horas, masa madre natural propia y harinas ecológicas molidas en piedra.",,,,https://www.brotundsinne.de,,https://www.instagram.com/brotundsinne/,,49.2073802,7.0417355,,pendiente,no comprobado,,,687,es,,,,,,de,westdeutschland,saarland,,,,,,
backerei-mischo,Bäckerei Mischo,Gersheim,Pan y cereal,,"Hauptstraße 4, 66453 Gersheim-Reinheim",Panadería artesana tradicional del Bliesgau con obrador central en Reinheim. Especialistas en panes de masa madre de espelta y centeno cultivados en la biosfera.,,,info@baecker-mischo.de,https://baecker-mischo.de,,https://www.instagram.com/baeckerei_mischo/,,49.1466700,7.2100000,,,sí,ecommerce,,103,es,,,,,,de,westdeutschland,saarland,,,,,,
backerei-adelmann,Bäckerei Adelmann,Schmelz,Pan y cereal,,"Primsweilerstraße 39a, 66839 Schmelz-Hüttersdorf","Panadería familiar con obrador propio en Hüttersdorf. Elaboración diaria de panes cocidos a la piedra, especialidades regionales y repostería artesana.",,,,http://www.baeckerei-adelmann.de,,https://www.instagram.com/baeckerei_adelmann/,,49.4162414,6.8488904,,pendiente,no comprobado,,,92,es,,,,,,de,westdeutschland,saarland,,,,,,
backerei-tinnes,Bäckerei Tinnes,Merzig,Pan y cereal,,"Schankstraße 46, 66663 Merzig",Obrador de panadería y pastelería tradicional en Merzig creador de especialidades locales como el pan de manzana (*Merziger Äppelkischd*) con masa madre propia.,,+49068612359,technik@dekoba.de,https://www.baeckerei-tinnes.de,,https://www.instagram.com/baeckertinnes/,,49.4418623,6.6361538,,,sí,ecommerce,,107,es,,,,,,de,westdeutschland,saarland,,,,,,
backerei-welling,Bäckerei Welling,Saarwellingen,Pan y cereal,,"Philipp-Reis-Straße 8, 66793 Saarwellingen",Panadería artesanal familiar fundada en 1928 con obrador de producción propia sin preparados industriales y harinas de molinos locales.,,+49683890320,boulangerie@4x-300x120.png,https://baeckerei-welling.de,,https://www.instagram.com/baeckerei_welling/,,49.3539051,6.7908374,,,sí,ecommerce,,108,es,,,,,,de,westdeutschland,saarland,,,,,,
backerei-konig,Bäckerei König,St. Ingbert,Pan y cereal,,"Am Mühlwald 1, 66386 St. Ingbert","Panadería ecológica artesana certificada Bioland de Michael König, con obrador propio de panes de grano entero bio.",,,,https://www.biosphaere-bliesgau.eu/erleben-geniessen/regionale-produkteakteure-a-g/baeckerei-koenig,,,,49.2863346,7.1275152,,pendiente,no comprobado,,,99,es,,,,,,de,westdeutschland,saarland,,,,,,
backerei-cafe-lenert,Bäckerei-Café Lenert,Blieskastel,Pan y cereal,,"Auf Scharlen 3a, 66440 Blieskastel-Webenheim","Obrador artesanal en Webenheim con amasado y horneado diario de panes, hogazas y bollería fina con cereales de proximidad.",,+4963729969653,backstube@baeckerei-lenert.de,https://baeckerei-lenert.de,,,,49.2339609,7.2702016,,,sí,ecommerce,,93,es,,,,,,de,westdeutschland,saarland,,,,,,
quanah-schott-patisserie,Quanah Schott Pâtisserie,Saarbrücken,Dulces y repostería,,"Mainzer Straße 86, 66121 Saarbrücken","Obrador de pastelería francesa y chocolatería en Mainzer Straße. Elaboración artesanal diaria de tartaletas, macarons y bombones.",,+4968193583954,info@quanahschott.com,,https://www.facebook.com/QuanahSchottPatisserie/,,,49.2299543,7.0074145,,pendiente,no comprobado,,,1891,es,,,,,,de,westdeutschland,saarland,,,,,,
cafe-konditorei-steigleiter,Café Konditorei Steigleiter,Saarbrücken,Dulces y repostería,,"Arndtstraße 27, 66121 Saarbrücken","Confitería y pastelería con obrador propio dirigido por maestro pastelero y sumiller de chocolate. Tartas tradicionales, bombones y trufas artesanas.",,,,https://steigleiter.de,,,,49.2297866,7.0095741,,pendiente,no comprobado,,,708,es,,,,,,de,westdeutschland,saarland,,,,,,
konditorei-cafe-resch,Konditorei Café Resch,Eppelborn,Chocolate,,"Kirchplatz 4, 66571 Eppelborn","Confitería y pastelería con taller propio de chocolatería, trufas finas y la especialidad *Eppelborner Schlosstaler*.",,+4968817236,info@cafe-resch.de,https://www.cafe-resch.de,,,,49.4066259,6.9668153,,,sí,ecommerce,,1550,es,,,,,,de,westdeutschland,saarland,,,,,,
konditorei-cafe-lolo,Konditorei & Café Lolo,Saarbrücken,Dulces y repostería,,"Heuduckstraße 67, 66117 Saarbrücken","Pastelería y confitería familiar fundada en 1969 con obrador propio en Alt-Saarbrücken, con *Lolo-Butterkuchen* y repostería tradicional.",,+4968151828,info@cafe-lolo.de,https://cafe-lolo.de,https://www.facebook.com/cafelolosaarbrucken/,,,49.2335174,6.9744717,,pendiente,sí,ecommerce,,1549,es,,,,,,de,westdeutschland,saarland,,,,,,
siegtrud-s-schokoladen,Siegtrud's Schokoladen,Merzig,Chocolate,,"Friedrichstraße 13, 66663 Merzig","Taller artesano de chocolatería en Merzig con elaboración a mano de bombones frescos, pralinés y tabletas de chocolate fino.",,+49068618299122,info@siegtruds-schokoladen.de,http://schokoladenmerzig.de,,,,49.4425688,6.6379247,,,sí,ecommerce,,2073,es,,,,,,de,westdeutschland,saarland,,,,,,
martinshof,Martinshof,St. Wendel,Lácteos y quesos,,"In der Brombach 6, 66606 St. Wendel-Osterbrücken","Explotación agroecológica con rebaño caprino propio, quesería de finca (yogures, rulos y quesos madurados de cabra) y carnicería bio propia.",,,,https://www.martinshof.de,,https://www.instagram.com/martinshof.de/,,49.4930162,7.2717204,,pendiente,no comprobado,,,1706,es,,,,,,de,westdeutschland,saarland,,,,,,
neukahlenberger-hof-neue-haus-sonne,Neukahlenberger Hof (Neue Haus Sonne),Blieskastel,Lácteos y quesos,,"Neukahlenberger Hof 1, 66440 Blieskastel-Böckweiler","Granja biodinámica Demeter con quesería artesanal de leche propia de vaca y cabra, quesos semicurados y frescos, y tienda de granja inclusiva.",,,,https://www.haussonne.de,,,,49.2372700,7.2529200,,pendiente,no comprobado,,,1774,es,,,,,,de,westdeutschland,saarland,,,,,,
hofgut-dosterhof,Hofgut Dösterhof,Wadern,Lácteos y quesos,,"Dösterhof 1, 66687 Wadern-Altland","Granja modelo con quesería propia en finca, vacuno de carne Angus, gallinas camperas en módulos móviles y sala de carnicería propia.",,,,https://doesterhof.de,,https://www.instagram.com/hofgut_doesterhof/,,49.5084927,6.9099090,,pendiente,no comprobado,,,1258,es,,,,,,de,westdeutschland,saarland,,,,,,
ziegenbetrieb-leser,Ziegenbetrieb Leser,Losheim am See,Lácteos y quesos,,"Sonnenhof am Geiselbach, Zum Geiselbach 1, 66679 Losheim am See-Rimlingen",Granja caprina familiar con rebaño propio y quesería de granja. Elaboración artesanal de quesos de cabra frescos y madurados en corteza natural.,,,,https://www.ebbes-von-hei.de,https://www.facebook.com/ZiegenbetriebLeser,,,49.5166700,6.7500000,,pendiente,no comprobado,,,2343,es,,,,,,de,westdeutschland,saarland,,,,,,
